41;Bolbitis heudelotii;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBolbitisheudelotii%28006XL%29%2F18376;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F006%20XL%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;15;30;media;media;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
42;Bolbitis heudelotii;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBolbitisheudelotii%28006YWS%29%2F4407;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F006%20YWS%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;15;30;media;media;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
43;Bolbitis heudelotii;https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBolbitisheudelotii%28006%29%2F4406;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F006%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Africa;lento;15;30;media;media;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
44;Bucephalandra 'Kedagang';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandra%27Kedagang%27%28139BTC%29%2F22544;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139B%20TC%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;10;20;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
45;Bucephalandra 'Kedagang';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandra%27Kedagang%27%28139B%29%2F22543;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139B%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;10;20;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
46;Bucephalandra pygmaea 'Bukit Kelam';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandrapygmaea%27BukitKelam%27%28139TC%29%2F28393;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139%20TC%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;5;10;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
47;Bucephalandra pygmaea 'Bukit Kelam';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandrapygmaea%27BukitKelam%27%28139%29%2F18757;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;5;10;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
48;Bucephalandra pygmaea 'Wavy Green';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandrapygmaea%27WavyGreen%27%28139YLS%29%2F18758;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139%20YLS%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;5;10;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
49;Bucephalandra sp. 'Needle Leaf';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandrasp.%27NeedleLeaf%27%28139CTC%29%2F29517;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139C%20TC%2F2.JPG%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;3;5;poca;poca;/Graphics/Web/icon_difficulty_Medium.png;Medium.png
50;Bucephalandra sp. 'Red';https%3A%2F%2Ftropica.com%2F%2Fen%2Fplants%2Fplantdetails%2FBucephalandrasp.%27Red%27%28139A%29%2F19682;https%3A%2F%2Ftropica.com%2Fimagegen.ashx%3Fwidth%3D200%26image%3D%2FPlants%2F139A%2F2.png%26crop%3Dresize%26class%3Dproduct;Rhizomatous;Asia;lento;5;10;poca;poca;/Graphics/Web/icon_difficulty_Easy.png;Easy.png
